Year,20to34,35to44,45to54,55to64,Low,HighSchool,College,Graduate,Male,Female,Native,Immigrant,White,Black,Latino,Asian,Veterans,Non_Veterans,NationalRate
1996 [YR1996],0.28,0.31,0.36,0.34,0.39,0.31,0.33,0.31,0.38,0.26,0.31,0.36,0.33,0.21,0.32,0.29,0.36,0.31,0.32
1997 [YR1997],0.27,0.27,0.28,0.31,0.35,0.27,0.31,0.26,0.36,0.21,0.27,0.33,0.29,0.19,0.32,0.23,0.32,0.27,0.28
1998 [YR1998],0.26,0.31,0.28,0.33,0.33,0.3,0.3,0.29,0.32,0.25,0.28,0.31,0.31,0.18,0.27,0.25,0.27,0.29,0.29
1999 [YR1999],0.26,0.27,0.28,0.28,0.29,0.29,0.29,0.26,0.32,0.22,0.26,0.32,0.28,0.21,0.31,0.24,0.3,0.26,0.27
2000 [YR2000],0.22,0.27,0.3,0.34,0.35,0.29,0.28,0.26,0.34,0.21,0.26,0.32,0.28,0.23,0.29,0.22,0.32,0.26,0.27
2001 [YR2001],0.23,0.27,0.3,0.32,0.31,0.26,0.27,0.31,0.31,0.23,0.26,0.31,0.27,0.21,0.29,0.3,0.36,0.26,0.27
2002 [YR2002],0.24,0.29,0.31,0.3,0.35,0.29,0.27,0.31,0.35,0.22,0.26,0.36,0.28,0.24,0.3,0.26,0.32,0.27,0.28
2003 [YR2003],0.23,0.36,0.31,0.35,0.44,0.31,0.32,0.29,0.38,0.23,0.29,0.38,0.3,0.23,0.4,0.29,0.37,0.3,0.3
2004 [YR2004],0.25,0.31,0.31,0.37,0.39,0.29,0.3,0.33,0.37,0.24,0.28,0.41,0.31,0.22,0.34,0.28,0.31,0.3,0.3
2005 [YR2005],0.27,0.3,0.26,0.33,0.35,0.28,0.31,0.29,0.35,0.23,0.28,0.33,0.29,0.23,0.31,0.26,0.33,0.28,0.28
2006 [YR2006],0.24,0.3,0.35,0.34,0.38,0.29,0.33,0.3,0.36,0.24,0.28,0.38,0.3,0.24,0.34,0.31,0.35,0.29,0.3
2007 [YR2007],0.24,0.33,0.35,0.31,0.42,0.3,0.28,0.33,0.4,0.21,0.27,0.46,0.3,0.22,0.4,0.33,0.35,0.3,0.3
2008 [YR2008],0.26,0.34,0.35,0.36,0.46,0.35,0.3,0.3,0.42,0.23,0.28,0.52,0.31,0.22,0.46,0.34,0.35,0.32,0.32
2009 [YR2009],0.24,0.4,0.36,0.4,0.49,0.38,0.3,0.34,0.43,0.25,0.3,0.51,0.33,0.27,0.46,0.31,0.3,0.34,0.34
2010 [YR2010],0.26,0.4,0.35,0.39,0.59,0.34,0.31,0.33,0.44,0.24,0.28,0.62,0.31,0.24,0.56,0.37,0.27,0.34,0.34
2011 [YR2011],0.27,0.33,0.37,0.33,0.57,0.33,0.31,0.29,0.42,0.23,0.27,0.55,0.29,0.23,0.52,0.32,0.3,0.32,0.32
2012 [YR2012],0.23,0.34,0.34,0.34,0.52,0.34,0.28,0.28,0.38,0.23,0.26,0.49,0.29,0.21,0.4,0.31,0.28,0.3,0.3
2013 [YR2013],0.18,0.31,0.36,0.31,0.48,0.28,0.27,0.28,0.34,0.22,0.25,0.43,0.27,0.19,0.38,0.28,0.23,0.28,0.28
2014 [YR2014],0.22,0.33,0.36,0.37,0.48,0.34,0.27,0.32,0.41,0.22,0.27,0.52,0.29,0.22,0.46,0.33,0.31,0.31,0.31
2015 [YR2015],0.24,0.4,0.37,0.37,0.5,0.35,0.33,0.33,0.42,0.26,0.29,0.53,0.32,0.23,0.46,0.29,0.26,0.34,0.33
2016 [YR2016],0.22,0.35,0.36,0.35,0.56,0.32,0.31,0.28,0.39,0.23,0.26,0.52,0.28,0.22,0.48,0.34,0.25,0.31,0.31
