year,month,day,hour,min,area,property,death,death_fireman,injury,injury_fireman,missing,detail,where,longtitude,latitude,reason,province,type,reason2,GDP,rank_G,killed_injured,id
2008,1,1,1,28,195,4.9,3,,,,,用火不慎,云南省昆明市官渡区大板桥镇浑水塘村一村民住宅,102.885395,25.052737,用火不慎,云南,住宅,用火不慎,5692.12,24,3,00001
2008,1,2,0,50,110,1.9,3,,,,,余火复燃,云南省曲靖市麒麟区朱街乡桂花村委会杨家圩村12号住宅,103.913326,25.360057,遗留火种,云南,住宅,遗留火种,5692.12,24,3,00002
2008,1,2,20,25,65000,30000,5,3,,,,外来火源意外引发火灾,新疆乌鲁木齐市沙依巴克区钱塘江路508号德汇国际广场批发市场,87.596923,43.78654,外来火种,新疆,公共,外来火种,4183.21,25,5,00734
2008,1,4,22,,13.6,4767,3,,,,,电源插座短路,广西壮族自治区来宾市象州县中平镇下谢官村62号居民住宅,109.954249,24.003513,电气（电线）,广西,住宅,电气（电线）,7021,19,3,00003
2008,1,7,1,37,31,2.6,4,,,,,疑似纵火,内蒙古自治区包头市东河区和平路东四区居民小区内洁美洗衣店,110.03787,40.593856,人为,内蒙古,公共,人为（纵火）,8496.2,15,4,00004
2008,1,8,2,18,61,3.6,4,,,,,维修用的电热风枪长时间通电过热引燃周围可燃物造成,广西壮族自治区梧州市蒙山县东江路37号居民住宅一层手机维修店,110.528494,24.207558,电气（电器）,广西,公共,电气（电器）,7021,19,4,00005
2008,1,14,1,26,100,9.8,5,,,,,正在使用中的蜂窝式煤球炉内掉落的煤渣引燃下部杂物间内可燃物引起火灾,浙江瑞安市莘塍镇四坦村四坦南路一简易房,120.702243,27.780905,用火不慎,浙江,住宅,用火不慎,21462.69,4,5,00006
2008,1,14,1,34,90,1.5,3,,,,,空调的带电线路故障短路,广东省肇庆市端州区黄岗镇渡头管理区新一村（豪江名庭住宅小区西侧）一居民住宅楼（三层半）,112.516017,23.11163,电气（电线）,广东,住宅,电气（电线）,36796.71,1,3,00007
2008,1,22,4,16,120,3,3,,,,,烤火炉长时间通电，引燃覆盖的棉被着火成灾,湖南省长沙市浏阳市文家市镇一居民住宅,113.982073,28.080057,用火不慎,湖南,住宅,用火不慎,11555,10,3,00008
2008,1,24,2,45,92,5.8,7,,1,,,电烛台电源线短路,广东省汕头市潮南区陈店镇新兴路北周某家庭作坊首层,116.332857,23.280017,电气（电线）,广东,住宅,电气（电线）,36796.71,1,8,00009
2008,1,28,19,40,80,2,3,,,,,生活用火不慎,贵州省铜仁地区思南县张家寨镇桥岩村一村民住宅,108.100213,28.03678,用火不慎,贵州,住宅,用火不慎,3561.56,26,3,00010
2008,1,28,20,12,19,2,4,,1,,,修理燃油助力车时违反使用易燃易爆物品安全规定,内蒙古自治区包头市九原区甲尔坝西村一民房,109.844362,40.68894,违章操作,内蒙古,住宅,违章操作,8496.2,15,5,00011
2008,1,30,1,55,98,1.6,3,,,,,电源插座短路,广西壮族自治区桂林市灵川县潭下镇老街村三队一居民住宅,110.299947,25.450973,电气（电线）,广西,住宅,电气（电线）,7021,19,3,00012
2008,1,30,18,35,,0.1064,3,,,,,烤火取暖不慎,福建省宁德市屏南县棠口乡贵溪村吴垱自然村一简易搭盖房,119.020201,26.991816,用火不慎,福建,住宅,用火不慎,10823.01,13,3,00013
2008,2,1,1,31,80,0.05,4,,,,,吸烟引起,湖北省黄冈市武穴市梅川镇五里福利院借用的五里坡小学教室,115.587819,30.150157,吸烟,湖北,公共,吸烟,11328.92,11,4,00014
2008,2,3,1,20,300,12.6,5,,,,,使用电烤火炉不慎,湖南省长沙市宁乡县箐华铺镇四海村洪伦山组一村民住宅,112.360465,28.131213,用火不慎,湖南,住宅,用火不慎,11555,10,5,00015
2008,2,4,7,15,34,3,7,,2,,,使用燃料炉具不当,广东省惠州市惠东县平山街道办事处红荣路29号青春洗衣部,114.72958,22.991667,用火不慎,广东,公共,用火不慎,36796.71,1,9,00016
2008,2,13,6,45,70,0.3,5,,,,,二层东南部放置的蜂窝煤炉火引燃相邻床上的棉被,广东省惠州市惠城区陈江街道办事处仲恺六路4号一栋三层民宅的第二、三层,114.329479,23.008407,用火不慎,广东,住宅,用火不慎,36796.71,1,5,00017
2008,2,15,1,56,,4.8,11,,1,,,电脑主机起火引燃周围可燃物造成火灾,浙江省义乌市义亭镇成帅酒店因吧台西北角处,119.95371,29.22355,电气（电器）,浙江,公共,电气（电器）,21462.69,4,12,00735
2008,2,15,3,30,136,0.8614,3,,1,,,生活用火不慎,贵州省黔东南州从江县雍里乡高加村一村民住宅,108.83552,25.631653,用火不慎,贵州,住宅,用火不慎,3561.56,26,4,00018
2008,2,15,4,21,710,67.9,3,,,,,生活用火不慎,云南省保山市腾冲县滇滩镇街子,98.414301,25.534705,用火不慎,云南,住宅,用火不慎,5692.12,24,3,00019
2008,2,15,15,40,,0.05,3,,,,,小孩燃放爆竹点燃稻草,江西省赣州市章贡区沙石镇火燃村刘屋组一村民家牛栏,114.963597,25.75263,小孩玩火,江西,住宅,小孩玩火,6971.05,20,3,00020
