Changes in Composition of New Entrepreneurs by Gender ,,,,,,,,,,
Gender,1996,2016,,,,,,,,
Male,56.33%,60.51%,,,,,,,,
Female,43.67%,39.49%,,,,,,,,
,,,,,,,,,,
Changes in Composition of New Entrepreneurs by Race,,,,,,,,,,
Race,1996,2016,,,,,,,,
White,77.12%,55.59%,,,,,,,,
Black,8.43%,9.24%,,,,,,,,
Asian,3.42%,7.59%,,,,,,,,
Latino,10.01%,24.12%,,,,,,,,
Other,1.02%,3.46%,,,,,,,,
,,,,,,,,,,
Changes in Composition of New Entrepreneurs by Nativity,,,,,,,,,,
Nativity,1996,2016,,,,,,,,
Immigrant,13.29%,29.50%,,,,,,,,
Native-Born,86.71%,70.50%,,,,,,,,
,,,,,,,,,,
Changes in Composition of New Entrepreneurs by Age,,,,,,,,,,
Age,1996,2016,,,,,,,,
Ages 20-34,34.27%,24.37%,,,,,,,,
Ages 35-44,27.36%,24.04%,,,,,,,,
Ages 45-54,23.55%,26.13%,,,,,,,,
Ages 55-64,14.83%,25.46%,,,,,,,,
,,,,,,,,,,
Changes in Composition of New Entrepreneurs by Education,,,,,,,,,,
Race,1996,2016,,,,,,,,
Less than High School,17.16%,16.92%,,,,,,,,
High School Graduate,32.34%,26.63%,,,,,,,,
Some College,26.78%,26.40%,,,,,,,,
College Graduate,23.72%,30.05%,,,,,,,,
,,,,,,,,,,
Changes in Composition of New Entrepreneurs by Veteran Status,,,,,,,,,,
Veteran Status,1996,2016,,,,,,,,
Veterans,12.49%,4.16%,,,,,,,,
Non-Veterans,87.51%,95.84%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Startup Activity Index (1996–2016),,,,,,,,,,
,,Startup Index Component Measures,,,,,,,,
,,Rate of New Entrepreneurs,,"Opportunity Share of NewEntrepreneurs",,Startup Density,,,,
Year,"Startup ActivityIndex",Rate,N,Share,N,Rate,Firm Population,,,
1996,0.85,0.32%,"529,228",81.11%,1692,109.7,"4,690,476",,,
1997,0.09,0.28%,"531,337",79.54%,1570,109.4,"4,752,255",,,
1998,0.3,0.29%,"532,543",80.84%,1631,107.3,"4,796,229",,,
1999,0.16,0.27%,"532,231",83.92%,1467,102.9,"4,824,483",,,
2000,0.29,0.27%,"532,382",86.43%,1537,99.6,"4,836,580",,,
2001,-0.11,0.27%,"561,573",82.99%,1507,96.5,"4,881,589",,,
2002,-0.4,0.28%,"624,303",76.84%,1747,101.1,"4,908,710",,,
2003,-0.08,0.30%,"614,589",77.09%,1854,100.9,"4,963,077",,,
2004,0.2,0.30%,"603,171",79.27%,1833,103.5,"5,039,479",,,
2005,-0.06,0.28%,"598,177",79.07%,1767,105.9,"5,139,412",,,
2006,0.46,0.30%,"592,917",80.79%,1790,107.7,"5,179,788",,,
2007,0.19,0.30%,"585,487",80.16%,1738,100.3,"5,240,019",,,
2008,0.36,0.32%,"585,677",80.74%,1786,93.8,"5,200,065",,,
2009,-0.35,0.34%,"591,699",73.84%,1937,80.8,"5,027,603",,,
2010,-0.41,0.34%,"593,271",74.16%,1920,77.8,"4,953,425",,,
2011,-0.62,0.32%,"586,146",74.10%,1825,81.1,"4,912,258",,,
2012,-0.5,0.30%,"580,953",78.39%,1780,82.1,"4,979,450",,,
2013,-0.87,0.28%,"572,600",78.20%,1609,80.5,"5,022,874",,,
2014,-0.3,0.31%,"569,101",79.57%,1734,79.9,"5,058,018",,,
2015,0.47,0.33%,"552,887",84.01%,1828,81.6,"5,143,184",,,
2016,0.48,0.31%,"548,587",86.25%,1686,85.4,"5,253,580",,,
,,,,,,,,,,
Rate of New Entrepreneurs by Gender (1996–2016),,,,,,,,,,
Year,Male,,Female,,Total,,,,,
,"Rate of NewEntrepreneurs","SampleSize","Rate of NewEntrepreneurs","SampleSize","Rate of NewEntrepreneurs","SampleSize",,,,
1996,0.38%,"242,558",0.26%,"286,670",0.32%,"529,228",,,,
1997,0.36%,"244,856",0.21%,"286,481",0.28%,"531,337",,,,
